District Name,School Name,Organization Type,Organization Code,Address,Town,Zipcode,Phone,PreKindergarten,Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Student Open Date,Interdistrict Magnet,Location
Regional School District 17,Regional School District 17,Regional School Districts,2170012,57 Little City Road,Higganum,06441,860-345-4534,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2002-07-01T00:00:00.000,0,"57 Little City Road
Higganum, CT 06441
(41.462064991, -72.56201903)"
Milford School District,Calf Pen Meadow School,Public Schools,0840111,395 Welch's Point Rd.,Milford,06460-7502,203-783-3521,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"395 Welch's Point Rd.
Milford, CT 06460-7502
(41.21321098, -73.028015966)"
Newington School District,Ruth Chaffee School,Public Schools,0940711,160 Superior Ave.,Newington,06111-3955,860-666-4687,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"160 Superior Ave.
Newington, CT 06111-3955
(41.683194014, -72.715353962)"
West Hartford School District,Hall High School,Public Schools,1556211,975 North Main St.,West Hartford,06117-2057,860-232-4561,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"975 North Main St.
West Hartford, CT 06117-2057
(41.793812002, -72.753354997)"
Sterling School District,Sterling School District,Public School Districts,1360011,251 Sterling Road,Sterling,06377,860-564-4219,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2007-09-04T00:00:00.000,0,"251 Sterling Road
Sterling, CT 06377
(41.705219015, -71.836081004)"
Hartford School District,Environmental Sciences Magnet at Hooker School,Public Schools,0640911,440 Broadview Terrace,Hartford,06106,860-695-3760,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,1,"440 Broadview Terrace
Hartford, CT 06106
(41.741281986, -72.702093037)"
Learn,Three Rivers Middle College Magnet School,Regional Education Service Center Schools,2456214,574 New London Turnpike,Norwich,06360,860-215-9055,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2012-08-27T00:00:00.000,1,"574 New London Turnpike
Norwich, CT 06360
(41.509333016, -72.098423006)"
Connecticut Technical Education and Career System,Eli Whitney Technical High School,CT Technical Education and Career Schools,9001416,100 Fairview Ave,Hamden,06514,203-397-4031,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2000-07-01T00:00:00.000,0,"100 Fairview Ave
Hamden, CT 06514
(41.341189018, -72.941516331)"
Norwalk School District,Roton Middle School,Public Schools,1035511,201 Highland Avenue,Norwalk,06853,203-899-2930,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"201 Highland Avenue
Norwalk, CT 06853
(41.077481115, -73.433348468)"
Connecticut Technical Education and Career System,Howell Cheney Technical High School,CT Technical Education and Career Schools,9001616,791 West Middle Tpke.,Manchester,06040,860-649-5396,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2000-07-01T00:00:00.000,0,"791 West Middle Tpke.
Manchester, CT 06040
(41.781957015, -72.561474039)"
New Haven School District,John C. Daniels,Public Schools,0931311,569 Congress Ave.,New Haven,06519,475-220-3600,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2007-07-01T00:00:00.000,1,"569 Congress Ave.
New Haven, CT 06519
(41.300682007, -72.938188032)"
Waterbury School District,Woodrow Wilson School,Public Schools,1513211,235 Birch St.,Waterbury,06704,203-573-6660,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1997-07-01T00:00:00.000,0,"235 Birch St.
Waterbury, CT 06704
(41.55592701, -73.019586035)"
Bloomfield School District,Bloomfield School District,Public School Districts,0110011,1133 Blue Hills Avenue,Bloomfield,06002,860-769-4200,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"1133 Blue Hills Avenue
Bloomfield, CT 06002
(41.829094995, -72.698701971)"
Sherman School District,Sherman School District,Public School Districts,1270011,2 Route 37 East,Sherman,06784,860-355-3793,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1996-07-01T00:00:00.000,0,"2 Route 37 East
Sherman, CT 06784
(41.578167007, -73.496060014)"
Guilford School District,E. C. Adams Middle School,Public Schools,0605111,233 Church St.,Guilford,06437-2403,203-453-2755,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"233 Church St.
Guilford, CT 06437-2403
(41.29294199, -72.684330024)"
Redding School District,Redding School District,Public School Districts,1170011,654 Morehouse Road,Easton,06612,203-261-2513,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1996-07-01T00:00:00.000,0,"654 Morehouse Road
Easton, CT 06612
(41.250763243, -73.295653557)"
Interdistrict School for Arts and Comm District,Interdistrict School For Arts And Communication,Public Charter Schools,2655113,190 Governor Winthrop Blvd.,New London,06320,860-447-1003,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1997-08-27T00:00:00.000,0,"190 Governor Winthrop Blvd.
New London, CT 06320
(41.355702999, -72.098182026)"
Bozrah School District,Fields Memorial School,Public Schools,0130111,8 Bozrah St. Ext.,Bozrah,06334-1300,860-887-2561,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"8 Bozrah St. Ext.
Bozrah, CT 06334-1300
(41.56325602, -72.153796038)"
Norwich School District,Teachers' Memorial Global Studies Magnet Middle School,Public Schools,1045211,15 Teachers Dr.,Norwich,06360-4029,860-823-4212,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"15 Teachers Dr.
Norwich, CT 06360-4029
(41.528670989, -72.096561972)"
Woodstock School District,Woodstock School District,Public School Districts,1690011,147 A Route 169,Woodstock,06281,860-928-7453,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1996-07-01T00:00:00.000,0,"147 A Route 169
Woodstock, CT 06281
(41.927145995, -71.955630999)"
North Haven School District,North Haven School District,Public School Districts,1010011,5 Linsley Street,North Haven,06473,203-239-2581,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"5 Linsley Street
North Haven, CT 06473
(41.3870547, -72.862107067)"
Connecticut Technical Education and Career System,H. C. Wilcox Technical High School,CT Technical Education and Career Schools,9001716,298 Oregon Rd.,Meriden,06450,203-238-6260,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2000-07-01T00:00:00.000,0,"298 Oregon Rd.
Meriden, CT 06450
(41.526749905, -72.833104151)"
Cromwell School District,Cromwell Middle School,Public Schools,0335111,6 Captain James Mann Memorial Dr.,Cromwell,06416-1356,860-632-4853,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"6 Captain James Mann Memorial Dr.
Cromwell, CT 06416-1356
(41.627523345, -72.656562376)"
Newtown School District,Head O'Meadow Elementary School,Public Schools,0970411,94 Boggs Hill Rd.,Newtown,06470-1915,203-426-7670,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"94 Boggs Hill Rd.
Newtown, CT 06470-1915
(41.383276988, -73.315362024)"
Regional School District 10,Har-Bur Middle School,Regional Schools,2105112,26 Lyon Rd.,Burlington,06013-1313,860-673-6163,0,0,0,0,0,0,1,1,1,1,0,0,0,0,2002-07-01T00:00:00.000,0,"26 Lyon Rd.
Burlington, CT 06013-1313
(41.77955099, -72.986746995)"
Union School District,Union School District,Public School Districts,1450011,18 Kinney Hollow Road,Union,06076,860-684-3146,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1996-07-01T00:00:00.000,0,"18 Kinney Hollow Road
Union, CT 06076
(41.987036998, -72.161359029)"
Avon School District,Pine Grove School,Public Schools,0040411,151 Scoville Rd.,Avon,06001-3023,860-404-4790,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1990-07-01T00:00:00.000,0,"151 Scoville Rd.
Avon, CT 06001-3023
(41.774840989, -72.855161006)"
Scotland School District,Scotland Elementary School,Public Schools,1230111,68 Brook Rd.,Scotland,06264-0097,860-423-0064,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"68 Brook Rd.
Scotland, CT 06264-0097
(41.764351205, -72.095143556)"
Bridgeport School District,Waltersville School,Public Schools,0153011,150 Hallett Street,Bridgeport,06608-2618,203-275-2400,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"150 Hallett Street
Bridgeport, CT 06608-2618
(41.182332432, -73.176251755)"
Danbury School District,Danbury High School,Public Schools,0346111,43 Clapboard Ridge Rd.,Danbury,06811-4529,203-797-4803,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"43 Clapboard Ridge Rd.
Danbury, CT 06811-4529
(41.416983009, -73.470073013)"
Regional School District 18,Center School,Regional Schools,2180312,49 Lyme St.,Old Lyme,06371-2335,860-434-7238,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2002-07-01T00:00:00.000,0,"49 Lyme St.
Old Lyme, CT 06371-2335
(41.318804981, -72.327529002)"
Wethersfield School District,Alfred W. Hanmer School,Public Schools,1590811,50 Francis St.,Wethersfield,06109-1801,860-571-8370,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"50 Francis St.
Wethersfield, CT 06109-1801
(41.715230989, -72.658268005)"
Interdistrict School for Arts and Comm District,Interdistrict School for Arts and Comm District,Public Charter School Districts,2650013,190 Governor Winthrop Blvd.,New London,06320,860-447-1003,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1997-08-27T00:00:00.000,0,"190 Governor Winthrop Blvd.
New London, CT 06320
(41.355702999, -72.098182026)"
Hartford School District,Classical Magnet School,Public Schools,0646411,85 Woodland Street,Hartford,06105,860-695-9100,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1995-07-01T00:00:00.000,1,"85 Woodland Street
Hartford, CT 06105
(41.773151994, -72.701380994)"
Windsor School District,Sage Park Middle School,Public Schools,1645311,25 Sage Park Rd.,Windsor,06095-3328,860-687-2030,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"25 Sage Park Rd.
Windsor, CT 06095-3328
(41.84308699, -72.659989983)"
Greenwich School District,Eastern Middle School,Public Schools,0575211,51 Hendrie Ave.,Riverside,06878-1809,203-637-1744,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"51 Hendrie Ave.
Riverside, CT 06878-1809
(41.03434301, -73.583405983)"
Meriden School District,Hanover School,Public Schools,0800311,208 Main St.,Meriden,06450-5149,203-235-6359,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"208 Main St.
Meriden, CT 06450-5149
(41.535140837, -72.796150253)"
New Haven School District,Sound School,Public Schools,0936711,60 South Water St.,New Haven,06519,475-220-2300,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1995-07-01T00:00:00.000,0,"60 South Water St.
New Haven, CT 06519
(41.282152133, -72.928524074)"
New Milford School District,New Milford High School,Public Schools,0966111,388 Danbury Rd.,New Milford,06776,860-350-6647,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"388 Danbury Rd.
New Milford, CT 06776
(41.527482016, -73.426482004)"
North Canaan School District,North Canaan Elementary School,Public Schools,1000111,"90 Pease Street, P.O. Box 758",North Canaan,06018-2026,860-824-5149,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"90 Pease Street, P.O. Box 758
North Canaan, CT 06018-2026
(42.03249464, -73.33063728)"
Cornwall School District,Cornwall School District,Public School Districts,0310011,5 Cream Hill Road,Cornwall,06796,860-672-6617,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1996-07-01T00:00:00.000,0,"5 Cream Hill Road
Cornwall, CT 06796
(41.876742007, -73.341345002)"
Naugatuck School District,Maple Hill School,Public Schools,0880311,641 Maple Hill Rd.,Naugatuck,06770-3557,203-720-5236,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1989-07-01T00:00:00.000,0,"641 Maple Hill Rd.
Naugatuck, CT 06770-3557
(41.489003003, -73.01762601)"
Wallingford School District,Wallingford School District,Public School Districts,1480011,100 South Turnpike Road,Wallingford,06492,203-949-6500,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"100 South Turnpike Road
Wallingford, CT 06492
(41.446742998, -72.844179036)"
Trumbull School District,Tashua School,Public Schools,1440911,401 Stonehouse Rd.,Trumbull,06611-1651,203-452-4433,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"401 Stonehouse Rd.
Trumbull, CT 06611-1651
(41.274736999, -73.243018991)"
Wilton School District,Wilton High School,Public Schools,1616111,395 Danbury Rd.,Wilton,06897-2006,203-762-0381,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"395 Danbury Rd.
Wilton, CT 06897-2006
(41.214969, -73.434864997)"
Tolland School District,Tolland Middle School,Public Schools,1425111,1 Falcon Way,Tolland,06084-3048,860-870-6860,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"1 Falcon Way
Tolland, CT 06084-3048
(41.87190502, -72.349343995)"
Enfield School District,Enfield Street School,Public Schools,0490211,1318 Enfield St.,Enfield,06082-4912,860-253-6565,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"1318 Enfield St.
Enfield, CT 06082-4912
(41.976521021, -72.594280975)"
Middletown School District,Lawrence School,Public Schools,0831311,Kaplan Dr.,Middletown,06457-1837,860-632-2158,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"Kaplan Dr.
Middletown, CT 06457-1837
(41.585221406, -72.682093615)"
East Lyme School District,Flanders School,Public Schools,0450111,167 Boston Post Rd.,East Lyme,06333,860-739-8475,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"167 Boston Post Rd.
East Lyme, CT 06333
(41.366235792, -72.215439738)"
Norwalk School District,Cranbury Elementary School,Public Schools,1030411,10 Knowalot Lane,Norwalk,06851-1399,203-846-3600,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"10 Knowalot Lane
Norwalk, CT 06851-1399
(41.158544201, -73.400183347)"
Meriden School District,Roger Sherman School,Public Schools,0800811,64 North Pearl St.,Meriden,06450-4419,203-238-1286,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"64 North Pearl St.
Meriden, CT 06450-4419
(41.535776999, -72.783624983)"
Regional School District 16,Woodland Regional High School,Regional Schools,2166012,135 Back Rimmon Rd.,Beacon Falls,06403-1199,203-881-5551,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2002-07-01T00:00:00.000,0,"135 Back Rimmon Rd.
Beacon Falls, CT 06403-1199
(41.423868994, -73.082958)"
Bristol School District,Bristol Central High School,Public Schools,0176111,480 Wolcott St.,Bristol,06010-6480,860-584-7735,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"480 Wolcott St.
Bristol, CT 06010-6480
(41.662273999, -72.960935008)"
Unified School District #1,Cheshire Correctional Institution,State Agency Facilities,3360315,900 Highland Ave.,Cheshire,06410-1668,203-651-6247,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2000-07-01T00:00:00.000,0,"900 Highland Ave.
Cheshire, CT 06410-1668
(41.522600982, -72.904184998)"
Hartford School District,Hartford PreKindergarten Magnet School: North Campus,Public Schools,0641311,85 Edwards Street,Hartford,06120,860-695-5820,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-07-01T00:00:00.000,1,"85 Edwards Street
Hartford, CT 06120
(41.774956995, -72.682314009)"
New Haven School District,Conte/West Hills Magnet School,Public Schools,0933111,511 Chapel St.,New Haven,06511-1217,475-220-5400,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"511 Chapel St.
New Haven, CT 06511-1217
(41.303777618, -72.915562306)"
Westbrook School District,Westbrook School District,Public School Districts,1540011,158 McVeagh Road,Westbrook,06498,860-399-6432,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"158 McVeagh Road
Westbrook, CT 06498
(41.302548992, -72.450140991)"
New Haven School District,Hill Central Music Academy,Public Schools,0930711,140 Dewitt St.,New Haven,06519,475-220-6100,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"140 Dewitt St.
New Haven, CT 06519
(41.295161015, -72.936108984)"
Bristol School District,Bristol School District,Public School Districts,0170011,"129 Church Street, Box 450",Bristol,06011,860-584-7000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"129 Church Street, Box 450
Bristol, CT 06011
(41.66945856, -72.945311869)"
Milford School District,Joseph A. Foran High School,Public Schools,0846311,80 Foran Dr.,Milford,06460-7799,203-783-3502,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"80 Foran Dr.
Milford, CT 06460-7799
(41.219349006, -73.01279904)"
East Hampton School District,East Hampton School District,Public School Districts,0420011,1 Community Dr Ste 1,East Hampton,06424-2045,860-365-4000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"1 Community Dr Ste 1
East Hampton, CT 06424-2045
(41.601646705, -72.498807448)"
Plainfield School District,Plainfield School District,Public School Districts,1090011,651 Norwich Road,Plainfield,06374,860-564-6403,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"651 Norwich Road
Plainfield, CT 06374
(41.676003012, -71.916314006)"
Achievement First Bridgeport Academy District,Achievement First Bridgeport Academy,Public Charter Schools,2850113,655 Stillman St.,Bridgeport,06608-1331,203-338-0593,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2007-08-02T00:00:00.000,0,"655 Stillman St.
Bridgeport, CT 06608-1331
(41.192632989, -73.176063007)"
Wethersfield School District,Wethersfield School District,Public School Districts,1590011,127 Hartford Avenue,Wethersfield,06109,860-571-8110,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"127 Hartford Avenue
Wethersfield, CT 06109
(41.716458016, -72.658087962)"
Pomfret School District,Pomfret School District,Public School Districts,1120011,20 Pomfret Street,Pomfret Center,06259,860-928-2718,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1996-07-01T00:00:00.000,0,"20 Pomfret Street
Pomfret Center, CT 06259
(41.859554999, -71.960495017)"
Waterbury School District,Gilmartin School,Public Schools,1512611,107 Wyoming Ave.,Waterbury,06706-2742,203-574-8175,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"107 Wyoming Ave.
Waterbury, CT 06706-2742
(41.525270995, -73.02923503)"
New Canaan School District,Saxe Middle School,Public Schools,0905111,468 South Ave.,New Canaan,06840-6321,203-594-4564,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"468 South Ave.
New Canaan, CT 06840-6321
(41.131813019, -73.485497978)"
New London School District,New London School District,Public School Districts,0950011,134 Williams Street,New London,06320,860-447-6000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"134 Williams Street
New London, CT 06320
(41.357294022, -72.105981224)"
Naugatuck School District,Naugatuck School District,Public School Districts,0880011,497 Rubber Avenue,Naugatuck,06770,203-720-5265,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"497 Rubber Avenue
Naugatuck, CT 06770
(41.489880351, -73.071756593)"
Southington School District,William H. Hatton Elementary School,Public Schools,1310211,50 Spring Lake Rd.,Southington,06489-4424,860-628-3377,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"50 Spring Lake Rd.
Southington, CT 06489-4424
(41.600656994, -72.854704025)"
Connecticut Technical Education and Career System,Henry Abbott Technical High School,CT Technical Education and Career Schools,9001216,21 Hayestown Ave.,Danbury,06811,203-797-4460,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2000-07-01T00:00:00.000,0,"21 Hayestown Ave.
Danbury, CT 06811
(41.412786342, -73.454022767)"
Waterbury School District,Bunker Hill School,Public Schools,1510611,170 Bunker Hill Ave.,Waterbury,06708-2226,203-574-8183,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"170 Bunker Hill Ave.
Waterbury, CT 06708-2226
(41.567783003, -73.062543959)"
East Hartford School District,East Hartford Middle School,Public Schools,0435111,777 Burnside Ave.,East Hartford,06108-2705,860-622-5600,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1997-07-01T00:00:00.000,0,"777 Burnside Ave.
East Hartford, CT 06108-2705
(41.778159007, -72.603614979)"
Learn,Learn,Regional Education Service Center School Districts,2450014,44 Hatchetts Hill Road,Old Lyme,06371,860-434-4800,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2000-07-01T00:00:00.000,0,"44 Hatchetts Hill Road
Old Lyme, CT 06371
(41.319000992, -72.266424006)"
Brookfield School District,Brookfield High School,Public Schools,0186111,45 Long Meadow Hill Rd.,Brookfield,06804-1311,203-775-7725,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"45 Long Meadow Hill Rd.
Brookfield, CT 06804-1311
(41.479404006, -73.387304988)"
Unified School District #1,Corrigan/Radgowski Correctional Institution,State Agency Facilities,3362415,986 Norwich-New London Tpke.,Uncasville,06382,860-848-5729,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2000-07-01T00:00:00.000,0,"986 Norwich-New London Tpke.
Uncasville, CT 06382
(41.452073008, -72.107565986)"
Windsor Locks School District,Windsor Locks School District,Public School Districts,1650011,58 South Elm Street,Windsor Locks,06096,860-292-5000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"58 South Elm Street
Windsor Locks, CT 06096
(41.921144008, -72.643050995)"
Hartford School District,Milner Middle School,Public Schools,0641911,150 Tower Avenue,Hartford,06112,860-695-4380,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"150 Tower Avenue
Hartford, CT 06112
(41.797913016, -72.670076011)"
Tolland School District,Tolland Intermediate School,Public Schools,1420211,96 Old Post RD,Tolland,06084-3325,860-870-6885,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"96 Old Post RD
Tolland, CT 06084-3325
(41.870625984, -72.373253038)"
Southington School District,Southington High School,Public Schools,1316211,720 Pleasant Street,Southington,06489-2713,860-628-3229,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"720 Pleasant Street
Southington, CT 06489-2713
(41.615314009, -72.861409966)"
Capitol Region Education Council,Ana Grace Academy of the Arts,Regional Education Service Center Schools,2410614,129 Griffin Road North,Bloomfield,06002,860-677-0380,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2012-08-25T00:00:00.000,1,"129 Griffin Road North
Bloomfield, CT 06002
(41.887064334, -72.743778961)"
New London School District,Bennie Dover Jackson Middle School,Public Schools,0955111,36 Waller St.,New London,06320-5216,860-437-6480,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"36 Waller St.
New London, CT 06320-5216
(41.35852649, -72.10677967)"
Putnam School District,Putnam School District,Public School Districts,1160011,152 Woodstock Avenue,Putnam,06260,860-963-6900,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"152 Woodstock Avenue
Putnam, CT 06260
(41.922203983, -71.916989)"
West Haven School District,West Haven High School,Public Schools,1566111,1 McDonough Plaza,West Haven,06516-5299,203-937-4360,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"1 McDonough Plaza
West Haven, CT 06516-5299
(41.26089268, -72.957838903)"
Stonington School District,Stonington Middle School,Public Schools,1375211,204 Mistuxet Ave.,Mystic,06355-3009,860-536-9613,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"204 Mistuxet Ave.
Mystic, CT 06355-3009
(41.358171008, -71.944291038)"
Weston School District,Hurlbutt Elementary School,Public Schools,1570111,9 School Rd.,Weston,06883-1623,203-221-6300,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"9 School Rd.
Weston, CT 06883-1623
(41.215786941, -73.38174674)"
New Britain School District,Pulaski Middle School,Public Schools,0895311,757 Farmington Ave.,New Britain,06053-1364,860-225-7665,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1997-07-01T00:00:00.000,0,"757 Farmington Ave.
New Britain, CT 06053-1364
(41.69955398, -72.787789029)"
Griswold School District,Griswold Elementary School,Public Schools,0580311,303 Slater Ave.,Griswold,06351-2540,860-376-7610,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"303 Slater Ave.
Griswold, CT 06351-2540
(41.594019994, -71.980667995)"
Waterbury School District,Hopeville School,Public Schools,1511311,2 Cypress St.,Waterbury,06706-2101,203-574-8173,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"2 Cypress St.
Waterbury, CT 06706-2101
(41.532962722, -73.034112908)"
Simsbury School District,Tariffville School,Public Schools,1280311,42 Winthrop St.,Tariffville,06081-9623,860-658-5825,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"42 Winthrop St.
Tariffville, CT 06081-9623
(41.909806533, -72.766602472)"
Bolton School District,Bolton Center School,Public Schools,0120111,108 Notch Rd.,Bolton,06043-7498,860-643-2411,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"108 Notch Rd.
Bolton, CT 06043-7498
(41.775352998, -72.440362998)"
Greenwich School District,Glenville School,Public Schools,0570411,33 Riversville Rd.,Greenwich,06831-3627,203-531-9287,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"33 Riversville Rd.
Greenwich, CT 06831-3627
(41.040633, -73.662129992)"
Regional School District 13,Frederick Brewster School,Regional Schools,2130112,126 Tuttle Rd.,Durham,06422-2213,860-349-7227,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2002-07-01T00:00:00.000,0,"126 Tuttle Rd.
Durham, CT 06422-2213
(41.468071002, -72.700382961)"
Bethel School District,Frank A. Berry School,Public Schools,0090111,200 Whittlesey Dr.,Bethel,06801-1598,203-794-8680,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"200 Whittlesey Dr.
Bethel, CT 06801-1598
(41.377620798, -73.397277697)"
West Hartford School District,Smith School,Public Schools,1551711,64 St. James St.,West Hartford,06119-2325,860-236-3317,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1995-07-01T00:00:00.000,0,"64 St. James St.
West Hartford, CT 06119-2325
(41.751829983, -72.724744041)"
Goodwin University Educational Services (GUES),Riverside Magnet School at Goodwin University,College Affiliated Schools,2310218,29 Willowbrook Road,East Hartford,06118,860-709-6800,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2021-07-01T00:00:00.000,1,"29 Willowbrook Road
East Hartford, CT 06118
(41.744943998, -72.639539983)"
Essex School District,Essex School District,Public School Districts,0500011,1 Winthrop Road,Deep River,06417,860-526-2417,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1996-07-01T00:00:00.000,0,"1 Winthrop Road
Deep River, CT 06417
(41.363604996, -72.456837964)"
